ingresos,edad,compras_previas,descuento_aplicado,gasto_total
44223.76579375525,35,2,1,291.27416160117906
39846.169995410615,52,1,0,133.2963134553725
59175.14433261302,60,1,0,176.3321997030279
65464.99283743926,20,0,0,123.29474659290906
63969.20178674298,57,2,0,150.41592534147836
37411.73715166042,44,3,0,139.92207367253488
45361.81436223178,45,1,0,144.59370328168134
54968.95147105346,63,5,1,341.5818523361949
64633.17690683539,23,4,0,121.60238936921547
42812.38643232065,64,2,1,316.3309811690009
47215.115350042746,31,4,0,161.25655033494206
33404.97538990958,24,4,0,142.4438271509835
32056.90063878994,27,5,1,312.71240716073396
62187.88733591297,32,4,0,164.26411966346896
70343.60042856235,48,3,1,329.79101079703895
48919.848176294996,46,2,0,158.70447677573
65052.99346838036,59,3,0,186.1634144658025
55424.54037571451,34,2,0,124.41865238879458
40323.203680923136,46,3,0,138.22326555575344
55420.934082626205,61,2,0,144.81847991061727
73070.54849698953,32,3,0,165.58847135404213
49462.60941335073,43,2,1,316.6061752093795
73469.6548372101,29,3,1,338.68882656714095
10703.823438653832,42,4,0,138.54222346074684
62328.53756562836,58,2,1,285.59523527550385
51305.706023572566,22,3,1,283.6633958110001
45514.88974301199,21,0,0,54.91293971718224
51376.41164803253,61,2,1,302.93526749410665
20186.46628098661,58,4,1,283.51756296607806
46704.92168243732,48,5,1,314.36647442956473
55356.6885726762,20,3,0,168.92530152642843
72168.41067112274,20,4,1,309.2471435896488
42225.94672589529,43,2,0,142.87595221058763
37872.595956602185,34,4,1,324.17979882302996
42473.64434623195,27,2,0,128.9722708506529
63731.03176553111,19,2,0,164.5497035297997
54931.266644895266,41,2,0,159.30879249612366
42053.59694349442,28,2,0,113.5668890888672
57699.01149670034,41,3,0,165.4851729562085
51456.16324022061,52,2,1,332.3016064419037
64529.674857993334,40,3,0,161.87673814814488
39469.203591839716,49,0,1,258.8315975697776
45085.067801033474,40,6,1,327.1316882780112
44118.377703017635,51,6,1,399.64615949241437
28047.275778018222,58,0,0,96.06070002589824
54441.80415596864,36,4,1,307.0152515269097
53915.82908269834,19,3,0,140.82562320177558
50076.70184963691,19,5,1,299.77810357974346
46481.1929993728,32,1,0,121.96650036158859
28769.438869243786,38,1,0,78.39309769999637
43690.320158519615,52,4,1,294.8451991301879
44859.282252098456,22,6,1,299.5368656095313
37965.84096167571,60,2,0,115.36311459877575
47580.71432500986,44,3,1,315.027091314402
56060.762852218075,41,1,0,154.90098321284663
78292.78851815795,24,4,0,193.1486339048632
52618.66719247759,23,3,0,138.6302775712232
53863.25586084147,63,4,0,161.080790955288
48883.311263507494,50,1,1,289.3875596763186
21218.431770514377,34,4,1,269.51743293246864
49602.291868261746,63,3,1,285.0534358852686
50903.4531491154,59,4,0,203.78493692546868
86948.6316872793,47,2,0,140.95258796823137
47114.58552828316,25,2,0,156.84810421414252
54523.210135004185,57,1,0,123.44459283461171
49479.32345442135,63,1,0,131.33643134355717
32469.82943570702,24,2,0,117.99914245480566
67142.34221772531,23,2,0,177.26192176305267
61278.99549030161,21,2,0,134.52415253192655
61865.47920564571,18,5,1,308.7006851785942
36359.18817807891,32,2,0,165.10824221859838
71041.91466404148,48,4,0,202.84076737857828
28972.234058115788,42,4,1,313.9704202594137
58802.85640700405,64,1,0,192.03078690736234
82856.83438714968,50,3,1,346.92925115427926
35141.955123039676,52,2,1,292.16281016765237
41505.53405595842,22,6,1,317.08254619364214
51494.77047631462,22,2,0,159.16106351040077
42447.86518825701,53,3,1,290.96163010154226
26740.04853400801,34,2,1,249.80555239190272
51028.44462209041,31,3,1,313.77251449620354
34065.44429410843,46,3,1,287.777327997413
57103.88645952773,25,1,0,129.23141800690274
36208.63648649295,51,5,1,294.7171061785594
73249.01607526309,57,5,1,316.89222086882046
38251.20061495644,18,1,0,74.91281400115935
45169.07725691487,46,0,0,136.49558981637125
62202.758260545044,53,3,0,143.47173163108027
31537.03525349067,54,4,1,317.925459107602
53411.899019061944,46,5,1,378.2360917884121
69607.14131423642,22,2,0,174.3765056528911
25887.75148158159,49,3,0,138.1525348395377
52769.507877984564,41,1,0,139.75105862451483
53898.24191372635,36,5,1,298.9506714882526
61727.34307665966,29,1,0,154.34630416646698
31445.73933682877,18,1,1,298.6310592872414
30193.150803735854,24,4,1,254.48349939757497
57829.12348425346,34,4,1,321.33687462383614
54454.77009849779,51,1,0,136.96455751987645
53757.39275518815,60,3,1,326.3573917454103
55196.72314245463,24,3,0,145.11561850578582
39799.62917632264,34,10,1,391.50416205395567
53483.80545741505,20,2,1,288.40030394545096
54396.08709948022,46,2,1,315.42573892125154
39284.72872960448,39,2,0,150.13595853388264
77986.61766717135,55,3,0,188.22633349718612
57107.49381367681,60,2,0,147.00230238747275
32130.44754196027,46,1,1,262.8915250149445
59848.30412950744,59,5,0,206.05387515277098
35379.77494659018,22,2,0,143.60079030507285
61806.26905613678,47,5,1,331.2962235337715
67378.93368511106,40,1,0,168.09264415509182
37689.76522472434,38,4,1,281.3322761135422
64450.64193866483,43,7,1,321.26952354626536
56191.71390404747,64,3,0,168.83936636395595
62330.90239991735,38,3,0,134.07047353774402
78451.89473980921,37,1,0,176.13264019897144
46319.17825995694,40,4,1,321.23315775550145
38693.95753463766,21,7,1,356.1582909346205
36657.28355561715,38,2,0,139.4818369138676
37762.845725518426,38,10,1,387.77153772449776
48843.47435878844,18,2,0,175.55666839789347
55117.279622249654,32,5,1,305.46443519008113
54150.36198995029,34,0,0,103.69676148069205
62407.74873554036,31,6,1,342.1409606022421
50195.02837816861,36,4,1,293.1414560160033
71803.01115735975,51,3,0,173.7081736651857
46030.147501430656,23,2,0,91.58653520772094
90802.53749884429,62,2,1,341.3512526896024
59385.01021647509,23,3,0,139.9940818734914
37142.63665375576,22,4,1,284.1059217466676
33936.612529083315,24,3,0,138.21351229888725
57237.08622864778,50,1,0,151.68097202093605
46648.05822011224,30,2,0,139.92660866801475
60710.007411381375,18,6,1,317.82440098218467
57098.56436860317,30,5,1,331.7664616060284
48907.56631014691,60,2,0,146.26230314638818
37298.094228973925,44,3,1,283.420201405781
27277.291629712032,24,2,0,123.23848876239182
43302.275718994686,20,2,0,134.04361722805217
62845.981914852084,42,3,1,323.59659772334965
53211.40616195306,50,3,0,149.4910986990792
31313.91831932018,57,4,1,288.598923181665
52597.71388776773,34,5,1,297.58991185154036
55779.76069593255,62,1,1,314.54644467279036
36742.138456983004,31,2,0,134.92185270209166
52305.87658918292,54,2,0,164.00201910540935
50873.13077669,40,0,0,86.29226576543734
32855.44553254065,41,3,0,133.9044808745687
55366.81040522425,46,5,0,148.05417521292094
58411.76789552352,55,7,1,332.73619826504853
66245.76864762916,44,1,0,177.0599896760576
65807.03078052355,55,3,1,303.3629792925078
29334.959480643633,57,3,1,277.621661696151
35932.62440127316,62,4,0,148.04666449616442
57725.529008129895,40,4,0,149.82760152521965
57706.78926368313,48,3,1,292.0619999022759
57725.715294590715,53,3,1,278.93269264639616
107790.97235982082,34,3,0,181.94554136260564
58563.35766039751,54,0,0,139.30638595718347
67033.48460270898,20,8,1,343.5080201526444
64310.02645239804,53,3,0,157.34019517523743
59770.868769586974,22,1,0,80.13886748400556
45270.96133039481,63,4,0,153.28372823697148
61384.53830739901,32,4,1,360.1142329251025
38407.621781936425,23,3,1,264.7691273942284
46447.72089889987,27,5,1,326.1110884083275
42719.54678256345,49,4,0,141.40450474285393
51228.112090794835,40,4,0,168.95902352169068
84719.87850010264,34,2,1,353.02905797752976
21991.02211112378,63,0,0,102.64561223437663
60293.9028556177,37,3,1,299.0025456464003
25809.261932155227,61,3,1,287.9484973132025
42921.0220131585,58,2,1,272.18513909781416
66334.25895451049,32,3,1,314.9918081147554
50964.200286431944,61,4,0,169.5967090278758
33833.82833106041,63,3,0,151.22914243333312
39270.444361100475,39,4,1,256.2338417270811
60193.96623402014,23,3,0,152.59471070242958
39044.50052424295,21,1,0,121.1191273510612
53246.878843729624,40,1,0,132.41609540630063
50683.5775985572,61,5,1,348.93030019530335
40225.99478591274,62,1,0,111.73850481423491
82159.16133987988,36,3,1,315.67606348136655
59508.78533477017,62,5,1,352.4592419428337
19622.861200135892,48,2,0,130.5154775150541
52796.814721541414,61,4,1,349.4525739855629
40073.20302847418,20,3,0,134.0926901344199
62786.50002194336,45,3,1,278.2671972414882
38112.188923509486,20,4,1,311.34043980483415
48278.95337799651,31,5,1,319.9894364150733
57574.80918470686,35,3,1,309.10372966040694
62986.327912551824,44,3,0,195.990686039338
31995.553894163357,27,2,0,130.19089838664775
44982.481462385775,32,3,0,158.39221438170074
42875.82033258566,36,3,1,250.365726375817
40200.06151139432,26,1,0,103.34847301927815
76481.81360421646,21,5,1,356.7189556770523
56074.725664414334,32,6,1,330.90809763500204
31086.740684974324,25,1,0,113.49372204768372
63767.92920582164,18,2,1,297.0370266244078
81832.3429551895,24,7,1,383.72091562687143
65486.97890826721,48,4,1,303.9487213133702
27209.4505106898,35,2,1,231.4024140643784
42736.48890700623,29,6,1,312.8917680825024
69003.66723779934,47,4,1,339.96839640087495
39384.958015718286,50,4,0,144.17244125521387
56657.291422193426,64,2,1,307.6163642648172
61619.510801440054,24,3,1,276.1143507766186
36096.04292632875,45,4,0,122.76030943991233
49107.119659072996,20,5,1,295.07813251707313
1380.9898989639114,60,4,1,288.64719931104156
34634.185379985654,23,3,1,284.67550788883455
46211.4777291026,48,3,1,314.52435238291235
31283.252270527257,55,1,0,136.88781587164462
74486.16955897454,32,5,0,238.64355293211176
28547.87933059051,24,1,0,70.17446251045259
43399.332699545244,60,2,0,126.16269610853786
51961.10865929137,47,0,0,152.17343846204474
71619.09933599173,44,5,1,339.9304527141842
28462.06773230841,34,1,0,115.09060103516565
67447.45628232439,35,5,1,311.02567787448925
50153.4959152938,39,4,1,315.6922406086854
35277.37023428074,43,2,0,147.7155315993318
56931.55211394906,44,1,0,136.370756472932
52985.895433602054,57,3,0,170.04394020815877
40996.74684261808,41,4,0,157.3740780998582
51047.031274850284,25,4,1,319.92821212432034
44220.2960470736,38,2,0,115.53286619608933
51702.76017876872,46,3,0,121.9207748702949
59931.9601178157,60,5,1,347.95648014029837
73790.25224218029,38,5,0,210.51971590161708
31432.767517597265,20,1,0,139.55569378635636
81995.500619844,48,2,0,178.1289404556125
20718.68300716247,44,5,1,277.97132806056237
47723.22357446625,63,3,0,156.32073989823678
58824.75809726865,44,1,0,140.17044082769317
54214.87801602549,26,3,0,142.65513414269435
40659.50720269109,50,4,1,313.38713518519864
46878.16624464087,50,3,0,194.88948305812704
42604.985980117504,43,2,0,159.86780852784202
41159.52864583683,45,2,0,101.35359111459694
62744.03145531537,61,2,0,163.09628576699026
55355.23228947571,60,2,0,123.0430131851617
39606.35607109019,48,4,0,139.33055340730448
63493.99813149876,18,3,0,136.29351803014345
54609.49281314914,37,4,1,310.53025057224477
62192.931782584405,29,1,0,133.18397869657775
59444.432628854185,34,4,0,163.2107030297067
37565.07483616892,32,1,0,147.8506277833288
41597.284397045456,51,4,1,327.9906560821463
61209.40407684893,33,1,0,133.42536027788856
59155.55398150197,21,2,0,147.111918926916
49686.47609053778,25,7,1,364.19953659052953
51759.91074963173,51,2,1,269.4095024916146
69164.97343682637,63,4,1,339.05185235884426
41126.42916746255,42,3,0,149.14135199765454
58206.460717550566,32,2,0,128.00822688448588
46967.110213491585,45,2,0,109.09555685872043
46734.78195159169,26,2,0,118.78790984735575
66481.65277980786,19,3,0,150.950262754835
62381.245234820446,34,3,0,179.1846331327277
62202.644540009576,27,1,0,99.95662492452627
69582.18210731493,26,4,1,330.9116093158539
50315.05762449138,48,4,0,156.3964197337596
60229.294569424455,19,4,0,167.94718608789933
45345.99865109816,41,3,1,328.8604526209227
54862.49528732663,36,1,0,115.39434492962548
48047.85418448473,34,7,1,357.6764090723849
51454.93947489077,60,2,0,160.68919563914022
58927.3553815537,27,3,1,294.33724445422115
37726.689751497914,45,2,0,141.6798683735453
81385.8091352819,55,3,0,204.3600240680671
34909.73927750447,45,2,1,261.4445639957373
31787.17080818402,18,5,1,265.90215895379197
67371.66310250101,20,1,0,113.92415493511493
61874.94040944404,32,3,0,149.00684046004642
59361.79725578232,27,2,0,129.00519581718373
59425.1826389642,38,3,0,169.8530351317723
49816.29840729628,54,1,1,297.74423809053513
36541.18442771253,32,2,1,276.7022033674195
51137.068372905895,40,2,0,160.21405191706208
39842.574327318325,31,3,0,134.5639723256412
64626.796001266266,32,3,1,319.0537193377315
47794.13927746792,27,2,0,141.04495434256512
37617.54204811233,26,3,0,122.48736461383221
45179.2123752051,61,2,1,273.6533495488046
56193.97181413436,56,1,0,119.64308197901934
41544.13170794038,22,4,0,168.38776759010125
37666.69406650353,42,3,0,118.33386117711879
53655.30817237868,59,1,0,163.31435442000713
53674.49856663084,43,6,1,364.9326798440152
42395.85236943305,25,0,0,91.09279335197903
42934.425415725156,39,3,1,297.55584306227126
53480.74906036454,42,3,0,147.65681909795032
28278.734877540137,29,4,0,124.38622198096579
28888.043384351673,26,3,1,307.30526179412925
39223.33668121346,27,5,1,320.18008672227967
46798.292724322295,27,6,1,317.61646568790104
54663.61348397007,26,3,0,163.95890907997932
72130.34325424329,43,5,1,372.958417249379
62864.89434803029,52,2,1,300.98929235918064
47600.922050548594,44,5,1,336.63381346552643
49714.75688145967,48,3,1,285.2536768081086
34962.05953043287,36,2,1,259.3924732585083
49722.30296011415,60,3,1,315.81457931543156
45670.120416197926,55,1,0,133.42265337325946
54840.778405071345,23,0,0,114.7387810831571
37591.53584671515,32,1,0,128.94861544737378
57790.197713617585,46,5,1,327.9842270250742
72991.08369503866,64,1,0,185.02062396428443
48368.597773147136,62,5,1,342.7618768352422
56025.67583148412,22,2,0,138.7086968756275
60352.159875666686,31,0,0,121.18448628736824
43981.692921712456,19,5,1,303.60993100506835
53361.38722715625,40,1,0,111.07655212691004
50188.88601172692,61,1,0,135.28416453192747
51465.14147823248,63,3,1,290.9895375142397
38404.853242168,36,8,1,345.2446596948928
50367.652613884144,41,0,0,93.52440615845445
57469.974368681746,37,7,1,315.7571567778436
71767.15411692562,64,5,0,202.47023863733662
64389.0623912781,44,2,0,168.97936726240866
82297.73686267334,41,2,0,171.77030523223866
38489.78655667926,34,1,0,139.25335478508913
63084.80955081017,42,2,0,156.6439547144809
52750.130086075274,63,5,1,380.18654125137
82847.04399826509,48,2,0,181.1556434261406
37875.525719672725,45,3,1,339.609362640408
37404.17236728836,45,4,1,300.21630866827593
41009.11031833967,39,2,0,144.6537138077763
18141.564135352895,22,0,0,82.3272468026306
42113.674674788585,61,3,0,160.1889123588888
38613.01007669453,59,4,1,295.17194593587465
52255.906797143114,25,1,0,135.5102199379777
55126.339636657394,55,4,0,147.61248010378847
78142.56258823829,45,3,1,328.91483479564766
64256.35757279075,64,2,0,155.2555064083309
41346.44516506395,29,5,1,297.95525315381644
36523.77992977463,42,5,1,327.2837737533917
57378.78757259758,55,1,1,302.80417044977037
30196.501894690366,61,0,0,73.01405093109824
77471.8814878153,32,3,1,341.14285383664156
67691.60181081931,61,2,0,168.41312725969982
42962.365218429426,58,6,1,349.56691444142524
24302.98206363684,51,4,1,292.46278864234233
70308.0856124812,62,3,1,305.38022936265656
48281.902321210735,30,2,0,161.60092681581568
68567.24467960192,25,2,0,167.25100849143388
26083.585118084495,30,6,1,303.16399994895437
41009.374655693406,53,1,0,104.99199122614645
50078.65549577275,23,2,0,139.7374599984882
50704.70890647113,55,5,1,334.02245855291545
43249.01792781134,49,0,0,96.71630011653157
59342.748985212485,38,4,0,166.89660485082638
33985.69355926108,61,2,0,97.26483524575298
47864.3077246806,61,6,1,301.40659633103337
51804.434475678485,24,0,0,91.3638416413625
57716.582510881235,43,2,0,150.36195130840343
60674.223171333346,32,2,0,129.33909466476473
33130.36862243196,59,3,0,163.65349194261478
26988.287438965664,40,3,0,111.80806741012104
69165.15232847763,55,6,1,349.0960467160495
54984.71017969387,58,3,1,335.84600132703207
38772.701951651696,32,0,0,95.69456255726412
73267.27963283785,57,3,0,182.07027072424643
51735.11951439288,33,2,0,157.8915851590911
67689.45776095739,49,3,1,360.7796176710873
51012.777221151635,54,3,1,325.8736876258345
80911.21887322981,35,3,1,337.4250898973257
76330.11263664806,37,3,0,218.05643451580588
46265.5377728139,63,2,0,121.79693164889838
64573.56426431533,19,2,1,335.6732040650765
59680.639243777216,40,1,0,144.24458019716465
70529.47336298523,47,3,0,182.6116793031476
35526.14809129843,20,3,0,103.23454722853111
60290.77189997659,63,0,0,116.7826227559583
65876.36730274382,56,3,1,314.05359256606636
23618.907703653287,64,1,0,114.67986999782505
32251.122310013372,18,3,0,120.92852198776433
19411.51733359849,58,2,0,123.34098758019131
45958.89748333163,39,4,1,294.19297457671155
60763.133836939436,46,2,0,162.82885422347942
72535.35578144042,31,7,1,326.7490375236233
51111.42170629663,45,6,1,362.495985846276
74429.23318356938,38,6,1,341.8157945949111
29298.47812677663,62,2,0,133.59995339747948
24449.26340967268,49,2,0,111.80392120337143
49166.78451655072,23,2,0,130.1728731021147
55760.98173408961,18,0,0,120.47758945759809
49509.578778588606,38,3,1,371.17391722084255
18988.36849940185,21,3,1,223.70887231720803
48663.19940730817,20,2,0,110.50101995107467
30432.957492427202,47,4,1,269.1337959200016
60045.08823245058,48,1,0,150.10387734376002
55498.973691452724,51,3,1,318.7462383871887
35901.80320508967,36,3,0,161.76726566575076
42291.9962399496,37,5,1,311.80109149292355
34111.79717166573,40,4,1,319.84405370962025
49059.813540902425,57,4,1,339.9071631819117
64327.134807518574,42,3,0,162.83310208132315
35214.10930496684,32,2,0,107.44963809633688
57560.697732767665,55,4,1,322.2810532424046
42046.13572441339,40,5,1,298.7726867371456
38106.907516064835,19,3,0,129.11315538337726
48394.544600681635,32,2,1,268.5439159092047
34471.365163709386,61,1,0,131.85694622672548
41695.26041979227,52,2,1,255.07836417606302
32031.831611167272,27,2,0,123.12001115960744
79470.87699374584,31,0,0,158.80051038589846
50528.95327957593,44,6,1,344.02072936890113
39504.117380111216,31,2,1,222.94698512426712
53209.69866101333,52,3,1,313.58481192310325
48315.07925463755,50,3,0,161.74085487806
46685.45600700165,18,1,0,173.00120968034054
59212.50050065138,51,1,1,298.0022324481873
61362.61565070957,36,1,0,109.90756152911898
42042.48278584209,41,1,0,88.727333944171
41362.7263903298,59,1,0,126.28923878387269
45874.22454272534,21,7,1,309.22771254414056
15471.18252896623,53,5,1,308.3738742295994
27272.134067021718,30,3,1,305.2018096436808
70503.11401166787,49,4,1,286.75981945184594
74674.51570251926,26,1,0,141.09803009759926
46264.45940665432,56,2,1,320.036356864809
58648.35444583649,33,3,1,321.9592487429287
54668.75231815304,20,4,1,288.03130694099383
96183.21212682856,37,0,0,172.2447331175848
66793.62367151865,27,3,1,334.36029262625226
48081.2361277885,39,3,1,298.23037618640717
35666.89339099362,20,1,0,118.78765809286682
25903.30519613641,28,2,0,135.3111038817147
53051.954538008344,42,6,1,332.4736931715971
38654.73882073545,59,1,0,129.98973332474725
28666.19435603489,25,3,1,291.7045461638684
40301.4067363621,26,4,1,307.6315241004439
33776.779945784074,32,3,1,306.9978503156902
75307.12452608848,49,4,0,208.52903725380173
63224.59635424176,20,1,0,168.35563413884438
49880.41038025074,21,1,0,108.84950809623747
72199.16208335038,47,3,0,182.41768898625148
51160.524614714275,30,5,1,313.3800678702139
37080.73698007604,61,6,1,294.38972698550924
72846.86115904486,38,2,0,142.22400082232684
58083.65065526988,58,4,0,199.26395173108926
34441.30768510315,63,2,1,299.2973661451299
47144.91982874588,36,2,0,154.66316619166795
36865.726199228644,56,1,0,121.11239793215465
29258.00403553496,39,3,1,282.3496610252482
63892.66321297462,37,8,1,371.2932017951647
78641.24960705196,54,6,1,360.1005430897105
29021.486392712883,48,2,0,131.14010732619474
58444.538550358564,27,2,1,250.0310932452092
40240.361463172594,35,1,0,119.08515242775924
42693.11924352956,60,2,0,133.5543672336285
41114.09113641696,56,2,0,149.59057274783294
37040.138454802756,63,5,1,352.8983334813485
50727.82441917241,37,2,0,150.79060566844117
37535.748253834434,35,6,1,327.9417002016539
54056.85238669758,28,2,1,331.910603488722
49246.42835826294,39,3,0,142.43304989754662
46415.77929700386,61,5,1,309.837019348037
36386.545069376036,35,6,1,286.9035858224508
41348.43004147501,51,2,1,317.2138965621136
61330.86838738634,40,2,0,174.4030247808945
57513.75781436571,18,3,0,118.17686359603425
35336.67132802174,27,3,0,151.3510658408677
51489.98458143839,18,2,0,140.81805935445425
61270.80685057683,55,1,0,121.35474732855387
24958.920783179423,56,2,0,131.84045637995135
58150.402885699026,26,4,1,315.2114817325171
40060.643615812296,48,1,0,124.3125223596762
58558.98002889739,24,3,1,273.37293466255346
38551.11265186225,34,6,1,369.9051809313901
22926.768490032213,52,5,1,275.8379719882233
25586.86343175256,54,7,1,304.04872057110504
50721.27419992073,35,6,1,302.31778750470255
53895.83752582223,50,3,1,335.9492342833376
36435.25062343387,21,4,0,114.81758325758207
59578.88688166061,40,1,0,132.35747867361212
25077.1990659656,28,2,0,118.52217240234323
49008.80302029025,26,2,1,239.71432879011445
31834.75700356315,47,7,1,306.98204821798265
40222.45838296761,25,7,1,307.6372027700174
50710.98006974621,57,2,0,171.130184959088
37093.799520740715,22,5,1,294.8445581528169
44231.66683655262,29,4,0,140.05541404070556
65094.39213821661,18,5,1,345.51280108587395
41346.62195715277,32,2,1,267.64488951965245
62535.38168097712,42,2,1,329.90592749716984
33054.397180135726,35,0,0,154.26474101658047
57947.06266872924,55,3,0,190.94966055257737
71623.5293098685,59,3,0,222.1362937664062
12925.332498090662,63,3,0,137.13310585398045
38046.57116794285,43,5,1,315.2618236986702
58656.081907708096,57,4,1,326.89097761437966
46954.31920935511,20,3,1,308.2695162474843
55567.188100569634,39,3,1,279.7152417077067
40940.22219926269,43,4,1,324.43517532495764
51298.8468120935,36,4,0,151.5951176201348
47664.84146911881,61,2,1,311.4757019335779
67516.73092489711,61,3,1,332.0018791754755
53816.31264951819,64,6,1,360.30792640263866
55064.039931128034,56,3,0,179.3421006090171
43821.84550816299,53,1,0,136.41160995057237
42685.906638912595,38,3,0,146.60532119947374
43511.627182705684,58,3,1,293.4559088262162
55916.78213567445,43,2,0,148.6261045968707
43685.232787696055,30,4,1,283.3369988393908
54346.62285344619,53,3,0,138.04062693229966
81131.01197968159,41,1,0,129.5505698675561
63066.87055147538,58,1,0,167.5159275285832
45109.647017482384,43,2,1,266.1093524494356
68018.20883245918,38,4,1,338.7019452074663
43878.86940467673,35,2,0,133.23566268123864
19428.13197233219,32,4,1,251.48839899480035
34878.70533623894,32,2,1,238.16180673549366
21938.121184612166,23,5,1,290.89809681529925
44727.297739380374,60,5,1,302.34715026633194
50276.27568784328,48,1,0,139.5847967065794
75146.55968412924,45,4,1,348.547766722879
54903.910606462436,25,1,0,105.75448812892284
46713.49206786704,46,4,1,282.2151965266453
62441.083717752335,38,5,1,327.6975899833459
16832.970364881723,34,2,0,97.72326420498375
53534.21837162849,41,2,0,129.6152348591614
61562.9779083045,53,4,1,287.36391034253097
27821.206313302377,48,4,1,312.004800922655
67156.31064810394,64,4,1,337.2837227523207
55077.44611241621,51,1,0,152.03336574167008
43770.681291487985,19,4,1,292.0139421361482
59491.72799159427,59,3,0,186.73734772151164
84060.39286706594,20,4,0,178.9393768426949
52727.99382587743,47,3,0,149.63698897445732
53723.30879450504,25,2,1,269.0433121733943
43109.58650689634,24,4,1,300.3528400014644
37252.33445802813,29,6,1,304.3307712812812
62455.03724816369,36,4,1,310.19581814078265
37158.74261136699,43,4,0,114.64852070427855
51073.49355829089,45,0,1,265.16317316804765
42835.13829852325,32,0,0,116.87261782051927
57184.697386195876,31,5,1,320.00400072490663
55004.931579304226,31,5,1,331.80606712391733
65563.0991638685,20,3,0,134.8439616499291
42349.75401717879,46,4,0,143.9867449035028
45951.87597059943,23,4,1,305.13817678271766
35318.54426326539,40,3,1,284.79907506364304
43335.60109885833,45,1,0,65.84852428606715
55659.50739567279,31,5,1,309.8616192051863
61354.829249680275,31,1,0,114.98342677754329
36167.52013733562,37,3,1,281.428257512957
63044.088801584905,30,3,1,246.2364392642362
70334.56788207426,44,4,1,336.3941077569357
56201.523548355515,52,6,1,355.46899647520615
78151.937188371,62,1,0,156.82080463976146
38393.1620134464,19,2,0,112.37092494324531
31330.179450328746,58,3,0,126.00436346579153
23319.19626643582,62,1,0,146.0006611306606
72440.66467233775,57,4,0,217.4502734531417
59815.484845310864,41,2,0,173.30591361140148
49166.229936343174,46,3,0,190.1114038512527
54199.529394797304,20,3,0,170.32963027516607
33117.66429052435,62,4,1,293.5342939482819
86686.27969425239,21,2,0,169.36816192391083
51938.31772962841,19,3,0,152.47156390498887
51640.92191907339,37,6,1,336.54332228986766
60886.49935848038,32,1,0,107.80757528703481
57215.1384760507,49,2,1,315.1737145887376
53358.26036418697,59,4,1,333.2900879597405
38142.88316832032,18,3,1,288.7897792835052
57072.025357039936,55,2,1,311.0815100766472
78230.3674471255,52,2,0,174.00599052632867
70181.30069232467,24,2,0,164.87420954302976
73897.79939959096,62,1,0,124.34446699826924
42331.76485353222,30,3,0,147.55675300244746
35155.92769612129,18,3,0,144.70108681097366
48113.19619850528,31,5,1,347.7414189850114
50835.87368433042,46,4,1,324.9148890218896
66412.87277706423,20,2,1,278.0984100136105
24613.03055427771,63,1,0,105.89955609555838
72943.2547919092,41,3,0,183.21046911940377
47629.88152131516,18,5,1,315.2747388469027
43596.7839507887,27,6,1,296.22545771440133
34818.434371097486,30,3,0,132.7772236704816
